/M0/D (vbias=0.5) X,/M0/D (vbias=0.5) Y,/M0/D (vbias=0.675) X,/M0/D (vbias=0.675) Y,/M0/D (vbias=0.85) X,/M0/D (vbias=0.85) Y,/M0/D (vbias=1.025) X,/M0/D (vbias=1.025) Y,/M0/D (vbias=1.2) X,/M0/D (vbias=1.2) Y
0,-3.578567471980052e-13,0,-2.133631582055259e-12,0,-7.411639040477745e-12,0,-2.065282146490086e-11,0,-5.104911749286982e-11
0.024,4.049749035635443e-07,0.024,1.463260894137012e-06,0.024,2.663489654477396e-06,0.024,3.719489366904267e-06,0.024,4.574946118776306e-06
0.048,6.900039535862553e-07,0.048,2.744374359125628e-06,0.048,5.130891392455077e-06,0.048,7.245586643762193e-06,0.048,8.966717711684417e-06
0.07200000000000001,8.655355992828984e-07,0.07200000000000001,3.846015980638025e-06,0.07200000000000001,7.404299888279709e-06,0.07200000000000001,1.057997737744842e-05,0.07200000000000001,1.31765909980403e-05
0.096,9.560023187399284e-07,0.096,4.771333474467015e-06,0.096,9.485843090067393e-06,0.096,1.372437240928224e-05,0.096,1.720589994304569e-05
0.12,9.982802243276022e-07,0.12,5.524494031142223e-06,0.12,1.137769878069998e-05,0.12,1.668048967238485e-05,0.12,2.105598511638074e-05
0.144,1.020898924601737e-06,0.144,6.111894936777466e-06,0.144,1.308213507049827e-05,0.144,1.945005808531994e-05,0.144,2.472819406398578e-05
0.168,1.036381940524501e-06,0.168,6.544669613118239e-06,0.168,1.460158063263573e-05,0.168,2.203482346860273e-05,0.168,2.822388195454938e-05
0.192,1.049040115888233e-06,0.192,6.842698038436049e-06,0.192,1.593875004352567e-05,0.192,2.443655759016007e-05,0.192,3.154441261985155e-05
0.216,1.060389429807946e-06,0.216,7.037018675939788e-06,0.216,1.709687316508729e-05,0.216,2.665707214384787e-05,0.216,3.469116014786202e-05
0.24,1.071027877701827e-06,0.24,7.163914900673571e-06,0.24,1.808012130364876e-05,0.24,2.869824067190616e-05,0.24,3.766551126133715e-05
0.264,1.081221945894379e-06,0.264,7.253074579641464e-06,0.264,1.889439212886515e-05,0.264,3.056203355161854e-05,0.264,4.046886883010795e-05
0.288,1.091103860221724e-06,0.288,7.322448014136622e-06,0.288,1.954867116862325e-05,0.288,3.225057489324016e-05,0.288,4.310265704629612e-05
0.312,1.100745523215353e-06,0.312,7.381173342577578e-06,0.312,2.005701959595975e-05,0.312,3.376623679004788e-05,0.312,4.55683290794363e-05
0.336,1.110189232540724e-06,0.336,7.433688195994478e-06,0.336,2.044036729616346e-05,0.336,3.511179782448813e-05,0.336,4.786737849226686e-05
0.36,1.119461633221782e-06,0.36,7.482210140669001e-06,0.36,2.072584028946923e-05,0.36,3.629071154244997e-05,0.36,5.000135645521358e-05
0.3840000000000001,1.128580552677963e-06,0.3840000000000001,7.527918242133782e-06,0.3840000000000001,2.094200475175186e-05,0.3840000000000001,3.730755693652577e-05,0.3840000000000001,5.197189804693188e-05
0.4080000000000001,1.137558571529782e-06,0.4080000000000001,7.571486341086389e-06,0.4080000000000001,2.111283145003243e-05,0.4080000000000001,3.816876357656108e-05,0.4080000000000001,5.378076300078743e-05
0.4320000000000001,1.146404994916558e-06,0.4320000000000001,7.613328182108693e-06,0.4320000000000001,2.125495327949178e-05,0.4320000000000001,3.888366295693709e-05,0.4320000000000001,5.542989968362585e-05
0.4560000000000001,1.155126994223905e-06,0.4560000000000001,7.653715287482246e-06,0.4560000000000001,2.137861582598792e-05,0.4560000000000001,3.946568361818137e-05,0.4560000000000001,5.692154664631911e-05
0.4800000000000001,1.163730296806172e-06,0.4800000000000001,7.692836718894027e-06,0.4800000000000001,2.148983718647385e-05,0.4800000000000001,3.99329821358684e-05,0.4800000000000001,5.825839462237525e-05
0.5040000000000001,1.172219618792198e-06,0.5040000000000001,7.730831031184416e-06,0.5040000000000001,2.159216748945233e-05,0.5040000000000001,4.030739801837938e-05,0.5040000000000001,5.9443843387364e-05
0.5280000000000001,1.180598945583889e-06,0.5280000000000001,7.767804244584504e-06,0.5280000000000001,2.16877733088689e-05,0.5280000000000001,4.06114171549751e-05,0.5280000000000001,6.048239845274508e-05
0.5520000000000002,1.18887171965536e-06,0.5520000000000002,7.803840441448633e-06,0.5520000000000002,2.177804084430725e-05,0.5520000000000002,4.086469792416793e-05,0.5520000000000002,6.138024635195489e-05
0.5760000000000002,1.197040969887606e-06,0.5760000000000002,7.839008292778652e-06,0.5760000000000002,2.186390294184577e-05,0.5760000000000002,4.108219725448477e-05,0.5760000000000002,6.214598498074194e-05
0.6000000000000002,1.205109402874563e-06,0.6000000000000002,7.873365242610469e-06,0.6000000000000002,2.194601835456742e-05,0.6000000000000002,4.127427562375431e-05,0.6000000000000002,6.279131167757294e-05
0.6240000000000002,1.213079468977609e-06,0.6240000000000002,7.906960291512973e-06,0.6240000000000002,2.202487281179548e-05,0.6240000000000002,4.144778742539468e-05,0.6240000000000002,6.333120787052982e-05
0.6480000000000002,1.22095341118286e-06,0.6480000000000002,7.939835911678101e-06,0.6480000000000002,2.210083806336332e-05,0.6480000000000002,4.160723267386735e-05,0.6480000000000002,6.378308069137734e-05
0.6720000000000003,1.228733301983931e-06,0.6720000000000003,7.972029405726195e-06,0.6720000000000003,2.2174207705263e-05,0.6720000000000003,4.175561638587676e-05,0.6720000000000003,6.416483178440053e-05
0.6960000000000003,1.236421071753014e-06,0.6960000000000003,8.003573897798061e-06,0.6960000000000003,2.224521975194774e-05,0.6960000000000003,4.189500636072231e-05,0.6960000000000003,6.449268602200031e-05
0.7200000000000003,1.244018530943877e-06,0.7200000000000003,8.034499074645961e-06,0.7200000000000003,2.231407138105485e-05,0.7200000000000003,4.202687588089718e-05,0.7200000000000003,6.477982417867031e-05
0.7440000000000003,1.251527387744266e-06,0.7440000000000003,8.064831752712182e-06,0.7440000000000003,2.238092889606961e-05,0.7440000000000003,4.21523116837459e-05,0.7440000000000003,6.503614601326831e-05
0.7680000000000003,1.258949262314763e-06,0.7680000000000003,8.094596320509511e-06,0.7680000000000003,2.244593467073506e-05,0.7680000000000003,4.227214143288355e-05,0.7680000000000003,6.526876609260804e-05
0.7920000000000004,1.266285698428926e-06,0.7920000000000004,8.12381508992967e-06,0.7920000000000004,2.250921212870304e-05,0.7920000000000004,4.238701353815486e-05,0.7920000000000004,6.548272204432465e-05
0.8160000000000004,1.273538173108781e-06,0.8160000000000004,8.152508579627047e-06,0.8160000000000004,2.257086940666238e-05,0.8160000000000004,4.249744849311632e-05,0.8160000000000004,6.568160140054629e-05
0.8400000000000004,1.280708104697679e-06,0.8400000000000004,8.18069574678871e-06,0.8400000000000004,2.263100211131079e-05,0.8400000000000004,4.260387285397941e-05,0.8400000000000004,6.586800507120242e-05
0.8640000000000004,1.287796859705373e-06,0.8640000000000004,8.208394179023477e-06,0.8640000000000004,2.268969543708225e-05,0.8640000000000004,4.270664238143959e-05,0.8640000000000004,6.604386360434435e-05
0.8880000000000005,1.294805758684373e-06,0.8880000000000005,8.235620254971841e-06,0.8880000000000005,2.274702582192467e-05,0.8880000000000005,4.280605823884696e-05,0.8880000000000005,6.621064626210778e-05
0.9120000000000005,1.30173608134185e-06,0.9120000000000005,8.26238928005867e-06,0.9120000000000005,2.280306226336169e-05,0.9120000000000005,4.290237862324005e-05,0.9120000000000005,6.636949849690332e-05
0.9360000000000005,1.308589071051668e-06,0.9360000000000005,8.288715602267439e-06,0.9360000000000005,2.285786737911176e-05,0.9360000000000005,4.299582731476516e-05,0.9360000000000005,6.652133317543434e-05
0.9600000000000005,1.315365938900682e-06,0.9600000000000005,8.314612711707622e-06,0.9600000000000005,2.291149827261505e-05,0.9600000000000005,4.308660009572795e-05,0.9600000000000005,6.666689213862793e-05
0.9840000000000005,1.322067867381399e-06,0.9840000000000005,8.340093326935838e-06,0.9840000000000005,2.296400724727108e-05,0.9840000000000005,4.317486966300658e-05,0.9840000000000005,6.680678860474238e-05
1.008,1.328696013824198e-06,1.008,8.365169470395039e-06,1.008,2.301544240172271e-05,1.008,4.326078945222705e-05,1.008,6.694153702097803e-05
1.032,1.335251513648221e-06,1.032,8.389852534885119e-06,1.032,2.306584813047067e-05,1.032,4.334449666072989e-05,1.032,6.707157453937653e-05
1.056,1.341735483497359e-06,1.056,8.414153342635957e-06,1.056,2.311526554834116e-05,1.056,4.342611466950184e-05,1.056,6.719727679073734e-05
1.080000000000001,1.348149024316909e-06,1.080000000000001,8.438082198286431e-06,1.080000000000001,2.316373285315335e-05,1.080000000000001,4.350575500761158e-05,1.080000000000001,6.731896969703836e-05
1.104000000000001,1.35449322441633e-06,1.104000000000001,8.461648936863026e-06,1.104000000000001,2.321128563785143e-05,1.104000000000001,4.358351896307914e-05,1.104000000000001,6.74369384762822e-05
1.128000000000001,1.36076916255524e-06,1.128000000000001,8.484862967678218e-06,1.128000000000001,2.325795716107194e-05,1.128000000000001,4.365949891663298e-05,1.128000000000001,6.75514346194108e-05
1.152000000000001,1.366977911080706e-06,1.152000000000001,8.507733314927582e-06,1.152000000000001,2.330377858338126e-05,1.152000000000001,4.373377945590626e-05,1.152000000000001,6.766268137605659e-05
1.176000000000001,1.373120539136586e-06,1.176000000000001,8.530268655644495e-06,1.176000000000001,2.334877917508964e-05,1.176000000000001,4.38064383137984e-05,1.176000000000001,6.777087812546002e-05
1.2,1.37919811595843e-06,1.2,8.552477355564821e-06,1.2,2.339298650051417e-05,1.2,4.387754716471716e-05,1.2,6.787620390114561e-05
